jyutping_code,hanzi,word,frequency,tags
"jat1 gin6 waan4 jat1 gin6",一件還一件,一件還一件,200,daily
"jat1 bat1 siu2 sam1",一不小心,一不小心,200,daily
"jat1 sai3 jan4",一世人,一世人,200,daily
"jat1 sai3 jing1 ming4",一世英名,一世英名,200,daily
"jat1 go3",一个,一个,200,daily
"jat1 cyun3",一串,一串,200,daily
"jat1 gau2 gau2 cat1 nin4",一九九七年,一九九七年,200,daily
"jat1 gau2 sei3 gau2 nin4",一九四九年,一九四九年,200,daily
"jat1 si6",一事,一事,200,daily
"jat1 ji6",一二,一二,200,daily
"jat1 se1 se1",一些些,一些些,200,daily
"jat1 jan4 zou6 si6 jat1 jan4 dong1",一人做事一人當,一人做事一人當,200,daily
"jat1 jan4 gai3 dyun2 ji6 jan4 gai3 zoeng2",一人計短，二人計長,一人計短，二人計長,200,daily
"jat1 puk1 jat1 luk1",一仆一碌,一仆一碌,200,daily
"jat1 gaai3",一介,一介,200,daily
"jat1 doi6 jing1 hou4",一代英豪,一代英豪,200,daily
"jat1 doi6 hou4 git6",一代豪傑,一代豪傑,200,daily
"jat1 gin6 tau4",一件頭,一件頭,200,daily
"jat1 jam6",一任,一任,200,daily
"jat1 fan6",一份,一份,200,daily
"jat1 zyu6",一住,一住,200,daily
"jat1 lai4 dou3",一來到,一來到,200,daily
"jat1 bin6",一便,一便,200,daily
"jat1 hai6",一係,一係,200,daily
"jat1 go3",一個,一個,200,daily
"jat1 go3 jat1 go3",一個一個,一個一個,200,daily
"jat1 go3 zung1 gwok3",一個中國,一個中國,200,daily
"jat1 go3 ji6 go3",一個二個,一個二個,200,daily
"jat1 go3 zou6 hou2 ，jat1 go3 zou6 cau2",一個做好，一個做醜,一個做好，一個做醜,200,daily
"jat1 go3 zi6",一個字,一個字,200,daily
"jat1 go3 deoi3",一個對,一個對,200,daily
"jat1 go3 bang1",一個崩,一個崩,200,daily
"jat1 go3 baa1 sin1",一個巴仙,一個巴仙,200,daily
"jat1 go3 zung1",一個鐘,一個鐘,200,daily
"jat1 go3 beng2 jan3",一個餅印,一個餅印,200,daily
"jat1 go3 beng2 jan3 gam2",一個餅印噉,一個餅印噉,200,daily
"jat1 go3 gwat1",一個骨,一個骨,200,daily
"jat1 pui5",一倍,一倍,200,daily
"jat1 jik1",一億,一億,200,daily
"jat1 jyun4 faa3",一元化,一元化,200,daily
"jat1 jyun4 fuk6 ci2",一元復始,一元復始,200,daily
"jat1 jyun4 fong1 cing4",一元方程,一元方程,200,daily
"jat1 siu6",一兆,一兆,200,daily
"jat1 gung6",一共,一共,200,"daily,verb"
"jat1 nap1 jat1 dat6",一凹一凸,一凹一凸,200,daily
"jat1 fan1",一分,一分,200,daily
"jat1 fan1 jat1 miu5",一分一秒,一分一秒,200,daily
"jat1 fan1 cin4",一分錢,一分錢,200,daily
"jat1 haak1",一刻,一刻,200,daily
"jat1 dung6 bat1 jyu4 jat1 zing6",一動不如一靜,一動不如一靜,200,daily
"jat1 sap6",一十,一十,200,daily
"jat1 cin1",一千,一千,200,daily
"jat1 heoi3 bat1 faan2",一去不返,一去不返,200,daily
"jat1 hau2 gaa3",一口價,一口價,200,daily
"jat1 hau2 jin1",一口煙,一口煙,200,daily
"jat1 geoi3 gong2 saai3",一句講晒,一句講晒,200,daily
"jat1 geoi3 zung1",一句鐘,一句鐘,200,daily
"jat1 hoeng3",一向,一向,200,"daily,verb"
"jat1 hoeng3 dou1",一向都,一向都,200,daily
"jat1 mei6",一味,一味,200,"daily,noun"
"jat1 go1",一哥,一哥,200,daily
"jat1 m4 hai6",一唔係,一唔係,200,daily
"jat1 daam6 saa1 tong4 jat1 daam6 si2",一啖砂糖一啖屎,一啖砂糖一啖屎,200,daily
"jat1 di1",一啲,一啲,200,daily
"jat1 di1 di1",一啲啲,一啲啲,200,daily
"jat1 je5",一嘢,一嘢,200,daily
"jat1 gau6 je5",一嚿嘢,一嚿嘢,200,daily
"jat1 gau6 seoi2",一嚿水,一嚿水,200,daily
"jat1 gau6 liu1",一嚿溜,一嚿溜,200,daily
"jat1 gau6 wan4",一嚿雲,一嚿雲,200,daily
"jat1 gau6 faan6",一嚿飯,一嚿飯,200,daily
"jat1 gau6 faan6 gam2",一嚿飯噉,一嚿飯噉,200,daily
"jat1 wui4",一回,一回,200,daily
"jat1 gwok3 saam1 gung1",一國三公,一國三公,200,daily
"jat1 gwok3 zi1 gwan1",一國之君,一國之君,200,daily
"jat1 tyun4",一團,一團,200,daily
"jat1 pet6",一坺,一坺,200,daily
"jat1 paat6 laat6",一坺迾,一坺迾,200,daily
"jat1 coeng4",一場,一場,200,daily
"jat1 coeng4 fun1 hei2 jat1 coeng4 hung1",一場歡喜一場空,一場歡喜一場空,200,daily
"jat1 zik6 zi1 gaan1",一夕之間,一夕之間,200,daily
"jat1 je6 fu1 cai1 baak3 jat6 jan1",一夜夫妻百日恩,一夜夫妻百日恩,200,daily
"jat1 je6 fung1 lau4",一夜風流,一夜風流,200,daily
"jat1 tin1",一天,一天,200,daily
"jat1 tin1 gwong1 saai3",一天光晒,一天光晒,200,daily
"jat1 tin1 dou1 gwong1 saai3",一天都光晒,一天都光晒,200,daily
"jat1 fu1",一夫,一夫,200,daily
"jat1 fu1 jat1 cai1 zai3",一夫一妻制,一夫一妻制,200,daily
"jat1 fu1 dong1 gwaan1",一夫當關,一夫當關,200,daily
"jat1 jyu4 wong5 sik1",一如往昔,一如往昔,200,daily
"jat1 cai1 do1 fu1",一妻多夫,一妻多夫,200,daily
"jat1 cai1 do1 fu1 zai3",一妻多夫制,一妻多夫制,200,daily
"jat1 ze2",一姐,一姐,200,daily
"jat1 zi6 zi1 caa1",一字之差,一字之差,200,daily
"jat1 zi6 gam2 cin2",一字咁淺,一字咁淺,200,daily
"jat1 zi6 gok3",一字角,一字角,200,daily
"jat1 zi6 maa5",一字馬,一字馬,200,daily
"jat1 gun1 bun3 zik1",一官半職,一官半職,200,daily
"jat1 ding6 wui5",一定會,一定會,200,daily
"jat1 gaa1 daai6 sai3",一家大細,一家大細,200,daily
"jat1 zoeng3 gung1 sing4 maan6 gwat1 fu1",一將功成萬骨枯,一將功成萬骨枯,200,daily
"jat1 deoi3 jat1",一對一,一對一,200,daily
"jat1 siu2 si4",一小時,一小時,200,daily
"jat1 zau6 jat1 ji6 zau6 ji6",一就一，二就二,一就一，二就二,200,daily
"jat1 guk6",一局,一局,200,daily
"jat1 saan1 bat1 nang4 cong4 ji6 fu2",一山不能藏二虎,一山不能藏二虎,200,daily
"jat1 saan1 waan4 bei2 jat1 saan1 gou1",一山還比一山高,一山還比一山高,200,daily
"jat1 ngaam4 jat1 fat1",一岩一窟,一岩一窟,200,daily
"jat1 gei2 zi1 si1",一己之私,一己之私,200,daily
"jat1 nin4",一年,一年,200,daily
"jat1 nin4 jat1 dou6",一年一度,一年一度,200,daily
"jat1 nin4 kap1",一年級,一年級,200,daily
"jat1 sik1",一式,一式,200,daily
"jat1 sik1 loeng5 fan6",一式兩份,一式兩份,200,daily
"jat1 gung1 se6 loeng5 zin3",一弓射兩箭,一弓射兩箭,200,daily
"jat1 zoeng1",一張,一張,200,daily
"jat1 zoeng1 je5",一張嘢,一張嘢,200,daily
"jat1 wong5",一往,一往,200,daily
"jat1 dak1 lou6",一德路,一德路,200,daily
"jat1 sam1 hoeng3 soeng6",一心向上,一心向上,200,daily
"jat1 jan2 zoi3 jan2",一忍再忍,一忍再忍,200,daily
"jat1 nim6 zi1 gaan1",一念之間,一念之間,200,daily
"jat1 sik1 soeng6 cyun4",一息尚存,一息尚存,200,daily
"jat1 sik1 gaan1",一息間,一息間,200,daily
"jat1 sing4",一成,一成,200,daily
"jat1 dung6 dou1 mou5",一戙都冇,一戙都冇,200,daily
"jat1 sau2 jat1 goek3",一手一腳,一手一腳,200,"daily,noun"
"jat1 sau2 gaau1 cin2",一手交錢,一手交錢,200,daily
"jat1 pai1",一批,一批,200,daily
"jat1 gei6 pong4 san1",一技旁身,一技旁身,200,daily
"jat1 baa2",一把,一把,200,daily
"jat1 baa2 fo2",一把火,一把火,200,daily
"jat1 paak3 hong2",一拍行,一拍行,200,daily
"jat1 ziu1 bun3 sik1",一招半式,一招半式,200,daily
"jat1 pit3 je5",一撇嘢,一撇嘢,200,daily
"jat1 pit3 seoi2",一撇水,一撇水,200,daily
"jat1 daam3 daam1",一擔擔,一擔擔,200,daily
"jat1 zi1 gung1",一支公,一支公,200,daily
"jat1 man4",一文,一文,200,daily
"jat1 jyu1",一於,一於,200,"daily,verb"
"jat1 jat6",一日,一日,200,daily
"jat1 jat6 dou3 hak1",一日到黑,一日到黑,200,daily
"jat1 zou2",一早,一早,200,daily
"jat1 zou2 zau6",一早就,一早就,200,daily
"jat1 si4",一時,一時,200,daily
"jat1 si4 jat1 joeng6",一時一樣,一時一樣,200,daily
"jat1 si4 zi1 gaan1",一時之間,一時之間,200,daily
"jat1 si4 hau2 faai3",一時口快,一時口快,200,daily
"jat1 si4 si4",一時時,一時時,200,daily
"jat1 ziu1",一朝,一朝,200,daily
"jat1 ciu4 tin1 zi2 jat1 ciu4 san4",一朝天子一朝臣,一朝天子一朝臣,200,daily
"jat1 ziu1 bei6 se4 ngaau5",一朝被蛇咬,一朝被蛇咬,200,daily
"jat1 bun2 tung1 syu1 tai2 dou3 lou5",一本通書睇到老,一本通書睇到老,200,daily
"jat1 do2 sin1 faa1 caap3 zoi6 ngau4 fan3 soeng5",一朵鮮花插在牛糞上,一朵鮮花插在牛糞上,200,daily
